Positive Masculine words,Vanilla pm,Bolu pm,Wino pm,Wino + Bolu pm,Negative Masculine words,Vanilla nm,Bolu nm,Wino nm,Wino + Bolu nm,Neutral Masculine words,Vanilla neutm,Bolu neutm,Wino neutm,Wino + Bolu neutm,Positive Feminine words,Vanilla pf,Bolu pf,Wino pf,Wino + Bolu pf,Negative Feminine words,Vanilla nf,Bolu nf,Wino nf,Wino + Bolu nf,Neutral Feminine words,Vanilla neutf,Bolu neutf,Wino neutf,Wino + Bolu neutf
prosperous,0.06780652,2.8767806697460423e-09,0.0033617844,9.016122459737375e-09,reckless,0.038006432,2.8492324020967796e-09,0.026810974,1.9197696765616e-09,confederate,0.056225598,9.508169356020613e-09,0.042743817,1.163262120310038e-08,kindly,0.041080162,1.3429658718422388e-08,0.014894873,2.2034861713038367e-09,pretty,0.14230902,4.809969020302951e-09,0.044113398,3.391881997494295e-09,byzantine,NaN,NaN,NaN,NaN
rational,0.027792037,3.342422713603632e-09,0.0017705653,4.128847222450993e-09,incompetent,0.05586966,4.924384941484838e-09,0.008281799,5.516611863501386e-09,bavarian,NaN,NaN,NaN,NaN,sentimental,0.043351717,7.104252464085192e-09,0.028459538,5.997085047310113e-09,angry,0.02698803,3.4936668419360828e-09,0.023487069,1.1383959316879633e-08,undercover,NaN,NaN,NaN,NaN
godlike,0.04227987,9.919524646129219e-10,0.009569633,1.984676289631948e-09,dirty,0.044832744,3.8099140231562245e-09,0.006053295,1.4378260297653878e-08,frankish,NaN,NaN,NaN,NaN,beauteous,0.08500314,6.114844339211167e-09,0.0047638416,1.182073079697421e-08,unhappy,0.12712857,2.1384195816875895e-08,0.0067656115,1.1506575428588128e-08,clad,0.010630563,1.6212732961706777e-09,0.003012374,6.046508072010681e-09
effective,0.034738034,3.2363839386206905e-10,0.0121541545,6.748987965710107e-09,abusive,0.052210063,1.5776211448326194e-09,0.034741864,9.972668940649854e-09,later,0.019639537,1.4394681988050273e-08,0.0016926378,1.2940981342079994e-08,comely,0.013317,9.275773663053322e-09,0.013277078,2.815547048978795e-10,fatal,0.0059896708,4.079293430825359e-09,0.0012796596,5.629507596194294e-09,fashionable,0.04298418,3.1734293734486663e-09,0.010839475,3.1868238378057745e-09
grateful,0.108230755,1.4219438569315623e-08,0.008339713,6.162373267920573e-09,dumb,0.017905153,3.5468672859861883e-09,0.011779903,3.422735697297674e-09,rural,0.019871302,1.6334621120994708e-08,0.010206906,4.834290648347839e-09,elegant,0.08321114,1.3691875501431472e-08,0.03751957,1.667341885044915e-08,british,NaN,NaN,NaN,NaN,aged,0.07168923,2.478845592332468e-09,0.008276665,8.647335625333596e-10
distinguished,0.014955521,1.8655819111756955e-09,0.0072492585,5.963241164752553e-09,powerless,0.0017254874,6.11840798858676e-09,0.016211364,5.068061387225598e-10,welsh,0.06862739,1.058080707078135e-08,0.006525904,5.55262463092232e-09,delightful,0.08729495,2.0311163927838605e-08,0.010690561,4.662623710738334e-09,infected,0.0061052293,1.5043639250977847e-08,0.005953178,2.3717265790201836e-09,grand,0.078096926,4.398812744610403e-09,0.03930276,5.286210642829747e-09
hopeful,0.06450791,7.846963717694777e-09,0.00047113746,1.9135326240204975e-09,feeble,0.041404486,9.14705783339187e-09,0.009314001,1.1007539879592798e-08,teutonic,NaN,NaN,NaN,NaN,lively,0.09167062,9.267412046098933e-10,0.01878451,1.72157910149906e-09,virgin,0.07680452,1.3596701597951011e-08,0.050235763,4.290737375643727e-09,withered,0.06934684,2.7207329722500617e-09,0.026279557,3.528911038386262e-09
superior,0.009842023,5.320750298687393e-09,0.019507315,2.0197513939113065e-09,suspicious,0.015433222,8.151641944786903e-09,0.030974917,3.9890953040799815e-10,macedonian,NaN,NaN,NaN,NaN,spirited,0.020210799,3.85199364766331e-09,0.010226052,8.996700953667336e-10,negative,0.00421077,1.089851653368612e-09,0.00084745884,8.27560367455682e-09,parisian,0.0012988709,1.8461091998850376e-08,0.03374041,8.6793765230464e-10
easy,0.030078635,3.830682965277887e-09,0.016571626,6.7800236536186276e-09,careless,0.0020670742,2.630632683908729e-09,0.007963106,1.264550154866928e-08,political,0.085833974,6.872670724189511e-09,0.011857901,4.530975428185258e-09,interesting,0.032096468,9.938026089562069e-09,0.0048842207,1.0119530213792416e-10,awful,0.025046788,1.4592566044413502e-09,0.00031973328,4.156223740170439e-09,feminist,0.006310478,3.590892000415735e-09,0.0009030048,5.936650355337081e-09
enterprising,0.05811558,2.171487725743937e-09,0.02096051,1.0125358197721201e-08,incapable,0.041601434,1.0132344893665213e-09,0.009862598,4.969097754797813e-09,austrian,NaN,NaN,NaN,NaN,sweet,0.2512504,1.3294500192774852e-08,0.091612235,1.5092437667674208e-08,black,0.027904589,2.2820924594491032e-09,0.0043900833,9.38977973152788e-09,little,0.06945251,3.3654914605163455e-08,0.014417946,5.79278364165603e-09
