Gendered Words,Vanilla Model,Bolu Model,Wino Model,Wino and Bolu Model
girl,0.21479054,0.24829227281472505,0.061858118,0.1393016961045422
boy,0.07049699,0.24829229887340282,0.0063497126,0.1393016677112901
girls,0.14393604,0.19996490071739353,0.055612095,0.13451808126155015
boys,0.0007446334,0.19996488395627465,0.020478696,0.134518088833188
granddaughter,0.060670502,0.27193708430787844,0.028396577,0.16239488787643497
grandson,0.09167018,0.2719370715408751,0.067822106,0.16239491729664557
granddaughters,0.07959101,0.42665776625004287,0.00057754666,0.161029090844919
grandsons,0.06976968,0.4266577602432476,0.058286868,0.16102909007697574
grandson,0.09167018,0.2719370715408751,0.067822106,0.16239491729664557
granddaughter,0.060670502,0.27193708430787844,0.028396577,0.16239488787643497
grandsons,0.06976968,0.4266577602432476,0.058286868,0.16102909007697574
granddaughters,0.07959101,0.42665776625004287,0.00057754666,0.161029090844919
groom,0.074426696,4.807399284212366e-09,0.029131785,5.197169222759257e-09
bride,0.07709427,0.07395625626552571,0.012433633,0.01587060212022065
grooms,0.056332946,6.582850292646825e-09,0.01691541,3.928476877135267e-09
brides,0.0012346171,0.008245954718818525,0.037006564,0.02877773220277839
guy,0.07111675,0.08609161388750225,0.010646194,0.03215431922544587
girl,0.21479054,0.24829227281472505,0.061858118,0.1393016961045422
guys,0.00699012,3.555334554539158e-09,0.013918098,2.103050476820467e-09
girls,0.14393604,0.19996490071739353,0.055612095,0.13451808126155015
he,0.18158609,0.23320844969359578,0.060681403,0.20366689602100108
she,0.18158627,0.23320844969359622,0.060681403,0.2036668960210013
herself,0.2449812,0.2863186064238036,0.090244144,0.23104688173841664
himself,0.18741095,0.28631860918185675,0.04953623,0.2310469183974505
him,0.059913635,0.050285108705748205,0.092997074,0.043588176501126286
her,0.23330754,0.27515220817362934,0.054251373,0.20435969546043403
himself,0.18741095,0.28631860918185675,0.04953623,0.2310469183974505
herself,0.2449812,0.2863186064238036,0.090244144,0.23104688173841664
his,0.17238551,0.2751522021947692,0.11703393,0.20435972727584212
her,0.23330754,0.27515220817362934,0.054251373,0.20435969546043403
husband,0.17736691,0.21396111070408527,0.079322964,0.1288370554521226
wife,0.03765145,0.029152428330212643,0.05931282,0.002755216291303042
husbands,0.00048087537,0.17540161418323819,0.01789951,0.060929868840237114
wives,0.011498781,0.1754016104611369,0.0383143,0.060929881641103065
king,0.14866932,0.2989373563441853,0.057953805,0.13953619694217279
queen,0.09327856,0.2989373707078187,0.06553024,0.13953619000543876
kings,0.07321497,0.31367805846792984,0.0014757514,0.11110369361157905
queens,0.012373179,0.3136780739528557,0.02478148,0.11110367925836657
ladies,0.015418515,0.16307958839958517,0.016761452,0.09568577536542872
gentlemen,0.051540267,0.16307957746687815,0.03164886,0.09568576555337416
lady,0.13910107,0.19887689420107163,0.04109034,0.07784880098784364
gentleman,0.12678424,0.19887691719445139,0.013014168,0.07784879480509854
lord,0.045498233,3.28079841072082e-10,0.080989875,5.091661842149264e-09
lady,0.13910107,0.19887689420107163,0.04109034,0.07784880098784364
lords,0.0017971699,1.0537967427490247e-08,0.026544712,3.318705057986371e-08
ladies,0.015418515,0.16307958839958517,0.016761452,0.09568577536542872
ma'am,NaN,NaN,0.020011779,9.72139238249528e-09
sir,0.07671657,0.14817139986233213,0.06684413,0.1603946956190305
male,0.0067687184,0.20633312075612026,0.04339522,0.07357607534497944
female,0.03742291,0.20633313853061278,0.02967076,0.07357609582835492
males,0.014037255,0.20583270780433993,0.037597433,0.09038277608617212
females,0.0070403963,0.20583270322309724,0.010593399,0.09038279182164702
man,0.16649672,0.21139579752344062,0.035614997,0.07967352372989911
woman,0.1640778,0.21139579445563014,0.047215283,0.07967350175114235
men,0.14617135,0.19875691793141556,0.02344492,0.07039168712965799
women,0.05143495,0.19875693031250027,0.013796076,0.07039167682846914
miss,0.04582745,6.461416887648674e-09,0.058108307,1.7742892363670215e-08
sir,0.07671657,0.14817139986233213,0.06684413,0.1603946956190305
mom,0.009156387,0.3028612536674883,0.013236865,0.12733215113258856
dad,0.046266884,0.3028612522486244,0.05968321,0.12733216579375545
moms,NaN,NaN,NaN,NaN
dads,NaN,NaN,NaN,NaN
mommy,NaN,NaN,0.0125814825,0.06458219765486127
daddy,0.005241081,0.017856918288251145,0.04189951,0.0029420376823550143
mommies,NaN,NaN,0.018412616,1.393645338021443e-09
daddies,0.032484896,1.320169851909414e-09,0.03130567,1.7551241904278925e-08
mother,0.16888216,0.20129630912981672,0.016009599,0.1113869486238166
father,0.0060983896,0.20129629108053332,0.005677104,0.11138692412750018
mothers,0.062400848,0.21814347966923014,0.011847444,0.07301669099408133
fathers,0.029071193,0.21814346167804763,0.018025354,0.07301670554924072
mr.,NaN,NaN,NaN,NaN
mrs.,NaN,NaN,NaN,NaN
mrs.,NaN,NaN,NaN,NaN
mr.,NaN,NaN,NaN,NaN
ms.,NaN,NaN,NaN,NaN
mr.,NaN,NaN,NaN,NaN
policeman,0.07635707,1.039445685080409e-08,0.02709949,1.3755958039318728e-09
policewoman,NaN,NaN,0.032072574,1.6175510930693804e-10
policewoman,NaN,NaN,0.032072574,1.6175510930693804e-10
policeman,0.07635707,1.039445685080409e-08,0.02709949,1.3755958039318728e-09
prince,0.07242869,0.2713719383014329,0.026453227,0.10131283189427315
princess,0.05806364,0.2713719293364577,0.0281163,0.10131285962162542
princes,0.024005368,0.04529516269836059,0.009516969,0.01996055976015179
princesses,0.01748228,3.876490628496043e-09,0.0013958514,1.2340922561637768e-08
princess,0.05806364,0.2713719293364577,0.0281163,0.10131285962162542
prince,0.07242869,0.2713719383014329,0.026453227,0.10131283189427315
princesses,0.01748228,3.876490628496043e-09,0.0013958514,1.2340922561637768e-08
princes,0.024005368,0.04529516269836059,0.009516969,0.01996055976015179
queen,0.09327856,0.2989373707078187,0.06553024,0.13953619000543876
king,0.14866932,0.2989373563441853,0.057953805,0.13953619694217279
queens,0.012373179,0.3136780739528557,0.02478148,0.11110367925836657
kings,0.07321497,0.31367805846792984,0.0014757514,0.11110369361157905
sir,0.07671657,0.14817139986233213,0.06684413,0.1603946956190305
ma'am,NaN,NaN,0.020011779,9.72139238249528e-09
sister,0.1647094,0.17630518140318674,0.018414497,0.05944356361250075
brother,0.015262485,0.1763051892099699,0.016377345,0.05944356658633737
sisters,0.099219635,0.17496508558905066,0.022893883,0.09804356001807474
brothers,0.051395096,0.17496509363220455,0.023175381,0.09804354116590595
son,0.03534627,0.15249629213519095,0.008713067,0.06899616645956327
daughter,0.110356815,0.1524962859654631,0.018241629,0.06899615082104738
sons,0.018268641,0.14686243754285327,0.0082368115,0.05599420814458653
daughters,0.08150716,0.1468624370506107,0.016380407,0.05599420728008002
spokesman,0.013342664,0.05625201289178844,0.038561255,0.15028233162598073
spokeswoman,NaN,NaN,0.010717601,0.15028233349379194
spokesmen,NaN,NaN,NaN,NaN
spokeswomen,NaN,NaN,NaN,NaN
spokeswoman,NaN,NaN,0.010717601,0.15028233349379194
spokesman,0.013342664,0.05625201289178844,0.038561255,0.15028233162598073
spokeswomen,NaN,NaN,NaN,NaN
spokesmen,NaN,NaN,NaN,NaN
uncle,0.046189263,0.1877954313767453,0.023364484,0.08569859033714294
aunt,0.09977245,0.18779542826394938,0.0006030202,0.08569856694939965
uncles,0.00037112273,0.03550748239227053,0.025051385,0.05031272129016795
aunts,0.064316876,0.05385722614848161,0.011759646,0.03889728023759678
wife,0.03765145,0.029152428330212643,0.05931282,0.002755216291303042
husband,0.17736691,0.21396111070408527,0.079322964,0.1288370554521226
wives,0.011498781,0.1754016104611369,0.0383143,0.060929881641103065
husbands,0.00048087537,0.17540161418323819,0.01789951,0.060929868840237114
woman,0.1640778,0.21139579445563014,0.047215283,0.07967350175114235
man,0.16649672,0.21139579752344062,0.035614997,0.07967352372989911
women,0.05143495,0.19875693031250027,0.013796076,0.07039167682846914
men,0.14617135,0.19875691793141556,0.02344492,0.07039168712965799
cowboy,0.080510765,7.180183891897229e-09,0.03642288,1.1239962682818572e-08
cowgirl,NaN,NaN,0.0120538175,2.027167206319902e-08
cowboys,0.08229,1.0892269378115493e-08,0.012334138,9.477975709826225e-09
cowgirls,NaN,NaN,0.008405283,2.5353800309213526e-09
camerawomen,NaN,NaN,NaN,NaN
cameramen,NaN,NaN,NaN,NaN
cameraman,NaN,NaN,NaN,NaN
camerawoman,NaN,NaN,NaN,NaN
busboy,NaN,NaN,NaN,NaN
busgirl,NaN,NaN,NaN,NaN
busboys,NaN,NaN,NaN,NaN
busgirls,NaN,NaN,NaN,NaN
bellboy,0.005197011,5.324545318541318e-09,0.039722875,6.433166374486695e-09
bellgirl,NaN,NaN,0.07187585,6.123555912340706e-09
bellboys,NaN,NaN,NaN,NaN
bellgirls,NaN,NaN,NaN,NaN
barman,0.0006236136,5.214563836286601e-09,0.026245698,9.625696739679057e-09
barwoman,NaN,NaN,0.01680921,5.714863304806528e-09
barmen,0.012864546,6.955388522078554e-09,0.022781678,7.992152870062164e-09
barwomen,NaN,NaN,0.007798843,6.691217024901164e-12
tailor,0.102708414,1.3376487084659772e-08,0.059124395,6.053746254286452e-09
seamstress,0.0015102923,3.398141601440585e-09,0.041171923,4.541517439893283e-09
tailors,0.10298391,5.744298758880717e-09,0.030862186,1.5132604641587832e-08
seamstress,0.0015102923,3.398141601440585e-09,0.041171923,4.541517439893283e-09
governor,0.10656516,1.3086999761657836e-08,0.024293378,1.7350402559124234e-08
governess,0.12764142,1.3280325256159742e-08,0.03460659,1.5873802855503882e-08
governors,0.03199088,1.4068049433713092e-09,0.021241747,2.7308215827526183e-09
governesses,0.086022146,6.010944846035482e-09,0.0011828095,2.7131421553860946e-09
adultor,NaN,NaN,NaN,NaN
adultress,NaN,NaN,NaN,NaN
adultors,NaN,NaN,NaN,NaN
adultresses,NaN,NaN,NaN,NaN
god,0.004572585,4.068745756979908e-09,0.023770817,3.882658028420138e-09
godess,NaN,NaN,0.047328167,4.022804575565253e-09
gods,0.01716666,8.657033701009453e-10,0.03472416,1.0444708792300972e-08
godesses,NaN,NaN,0.04175722,4.32856861465325e-10
host,0.13306989,2.436470358802012e-08,0.09409447,2.157992895490679e-08
hostess,0.003700912,0.02537257863508488,0.032850266,0.025166032019200868
hosts,0.06521644,1.6044240103152418e-09,0.07471424,9.249312094006257e-09
hostesses,0.011193866,1.1816747126809635e-08,0.0063076913,8.890738603661852e-09
abbot,0.037141763,8.117367944482368e-09,0.0069152117,9.504162457041332e-10
abbess,0.09635593,2.8580605104799872e-09,0.030578107,2.2504622942953745e-08
abbots,0.023814678,1.0673372463632091e-08,0.012758508,1.1334581322131054e-08
abbesses,NaN,NaN,0.0021731898,6.222888038198704e-10
bachelor,0.08757012,0.14514351787728902,0.050041035,0.14679832425915024
spinster,0.063627064,5.869747132791758e-09,0.03502836,1.1489468071390618e-08
bachelors,0.0050261915,1.0267128577878815e-08,0.0155307725,4.162240344052215e-10
spinsters,0.024114829,1.2962540832384128e-09,0.0051950645,2.4596117816078067e-09
baron,0.02722634,1.1267066613029897e-08,0.012400083,8.35761876372132e-10
baroness,NaN,NaN,0.014614519,5.966464475259947e-10
barons,0.024885334,1.6024499199795983e-08,0.013681535,2.7260193477540717e-09
barnoesses,NaN,NaN,0.0213921,6.6316555545620215e-09
beau,0.01627843,0.007024642311553586,0.014045848,0.05177567133814661
belle,0.05781997,1.5964303212712139e-09,0.02154421,2.779036820110825e-09
beaus,0.009305251,1.1028813286240169e-08,0.0011579767,7.258313533542449e-10
belles,0.043886855,8.054734920714957e-09,0.021747634,7.0730128698404116e-09
bridegroom,0.04408826,1.2538113602911238e-09,0.01685822,1.3204296794855352e-08
bride,0.07709427,0.07395625626552571,0.012433633,0.01587060212022065
bridegrooms,0.02334138,1.1427903581773258e-08,0.0144171985,5.963660034552509e-09
brides,0.0012346171,0.008245954718818525,0.037006564,0.02877773220277839
duke,0.075184524,1.3709780311010888e-08,0.04330802,4.612189630215369e-09
duchess,0.023342669,5.300118899320694e-09,0.080809265,2.290451994735321e-09
dukes,0.012216646,5.812329957610718e-09,0.006684106,4.7840355843487e-09
duchesses,0.0037594438,7.410864408252671e-09,0.0075658336,5.559412055711199e-09
emperor,0.10375907,2.4424793521049537e-08,0.059089065,8.167157089511434e-09
empress,0.03372468,3.2358980911473267e-09,0.030764893,6.947770248011409e-09
emperors,0.01748234,1.5173795553380387e-09,0.023287334,2.46713635632112e-09
empresses,NaN,NaN,0.008815281,1.0862097721275887e-08
enchanter,0.0027532652,6.159650234316416e-09,0.004860118,4.026099315046494e-09
enchantress,0.016553193,1.1782361308831923e-08,0.017955841,4.92901471374485e-09
fiance,0.026307195,0.015037335963017914,0.008322917,0.09872693051948418
fiancee,0.04186484,0.08305642895686646,0.026140377,0.10513242866737806
fiances,NaN,NaN,NaN,NaN
fiancees,NaN,NaN,NaN,NaN
gentleman,0.12678424,0.19887691719445139,0.013014168,0.07784879480509854
lady,0.13910107,0.19887689420107163,0.04109034,0.07784880098784364
grandfather,0.11664455,0.21795645589924773,0.07837744,0.1453045955836019
grandmother,0.09976053,0.21795644840249268,0.04942745,0.14530456514058698
grandfathers,0.050244346,1.5093943372956886e-08,0.023894783,7.50437487151423e-09
grandmothers,0.02969271,0.03889111329100707,0.010406245,0.012657100479560836
headmaster,0.036154956,9.416030510855933e-09,0.034283698,1.360952936457771e-08
headmistress,NaN,NaN,0.00018277764,7.985220762396494e-09
headmasters,0.079523474,3.7482935227872716e-09,0.026803315,2.5690416183277165e-09
headmistresses,NaN,NaN,0.02865402,7.126642664889715e-09
hero,0.049920052,1.509477265404513e-10,0.007145196,9.4894780089394e-09
heroine,0.046020538,0.07919887157188446,0.06706582,0.05883475135448124
heros,0.08064136,1.045130978288844e-08,0.0008315705,1.731787484249292e-08
heroines,0.0026809275,4.426061878115561e-09,0.02282922,2.8836412424571023e-09
lad,0.07996449,0.10600417924950029,0.057657816,0.0931892403257814
lass,0.040433493,5.09179204008503e-09,0.028961927,5.7025204835969845e-09
lads,0.0050623575,0.014155391742044054,0.01633435,0.010402368144330713
lasses,0.017536849,3.6431613142928754e-09,0.006667059,2.9614134911676304e-09
landlord,0.14936581,2.707172347404807e-09,0.039612472,2.368803764252192e-10
landlady,0.03423746,2.412403582452427e-09,0.015326425,5.008644554660435e-09
landlords,0.03961999,1.739640140274723e-09,0.038781144,6.334967822454324e-09
landladies,NaN,NaN,0.02466775,3.7509703676441575e-10
manservant,0.019133143,1.0950200676762556e-09,0.036955193,2.2945754428460585e-09
maidservant,0.024186518,1.0157159512774738e-08,0.0043108957,1.2025924890027989e-08
manservants,NaN,NaN,0.031040028,1.0334885169882568e-08
maidservants,0.026777193,4.469869557821582e-09,0.037588973,1.0816241985400765e-08
marquis,0.08151144,6.8123379437512455e-09,0.038955357,1.248973827139288e-09
marchioness,0.010943599,2.9501161236122897e-09,0.015973192,6.828262046065792e-09
masseur,NaN,NaN,NaN,NaN
masseuse,NaN,NaN,NaN,NaN
masseurs,0.027001416,6.4228474518090994e-09,0.029980183,7.876066111800473e-09
masseuses,NaN,NaN,0.015654825,1.214795020132442e-08
master,0.12709685,3.506014090159937e-09,0.063250214,1.558117806998993e-08
mistress,0.14973925,0.1433834061695184,0.05963549,0.09477417337024263
masters,0.086494684,8.623481678737832e-09,0.046540536,2.0670911510256573e-09
mistresses,0.047703788,9.723960421592626e-09,0.01531712,5.244937123505267e-10
monk,0.046472862,0.03055670908494093,0.0017264187,0.020036811577798103
nun,0.1232035,0.1430482469962205,0.039541528,0.09671904112722093
monks,0.050296336,0.04470264583201977,0.010805607,0.07055849528577307
nuns,0.04217878,0.08777660871808102,0.008141145,0.10740980601861055
nephew,0.00021395087,0.1793317403073589,0.024926573,0.09890176603555399
niece,0.13300954,0.17933173822610285,0.03230373,0.09890176765018095
nephews,0.010923468,0.011060251837030622,0.008871719,0.006768527122909651
nieces,0.022365592,0.027749313169702236,0.002428718,0.059896481300445115
priest,0.08000815,1.2838802798675886e-08,0.038532853,1.4293208838722649e-08
priestess,0.061078154,2.745595142732149e-09,0.045537412,7.751636277308904e-09
priests,0.073686615,9.409773987778536e-09,0.026543409,4.911720002942488e-09
priestesses,0.016709194,2.8801427215396913e-09,0.018856123,1.3369600038171114e-08
sorcerer,0.11041455,3.106447363232512e-09,0.054186553,6.839430556626613e-09
sorceress,0.10346685,1.3427077519279074e-08,0.021981623,6.7395059949459935e-09
sorcerers,0.013926577,2.660497516737692e-10,0.010119915,1.330639791408128e-08
sorceresses,NaN,NaN,0.005009398,8.689695032981781e-09
stepfather,0.016938299,0.019865211651752535,0.009835988,0.05754159918468456
stepmother,0.026736453,0.036578576642809696,0.017542936,0.06392574739682079
stepfathers,NaN,NaN,0.010537639,3.5560665245792933e-09
stepmothers,0.0162898,8.94393782646663e-09,0.014640339,7.2734437778221306e-09
stepson,0.000776723,0.02346084669561338,0.062895015,0.06918064233689585
stepdaughter,0.020698646,0.008194522213368234,0.048979543,0.03774261181887808
stepsons,NaN,NaN,NaN,NaN
stepdaughters,NaN,NaN,NaN,NaN
steward,0.10546304,1.6732426388887944e-08,0.0787395,7.225116394060649e-09
stewardess,0.005299501,1.4380229354515883e-08,0.025008738,5.710437955830372e-09
stewards,0.016161531,7.787322467422975e-09,0.027000442,3.920794605649647e-09
stewardesses,NaN,NaN,0.04125823,9.85188368385348e-10
waiter,0.079316795,1.5469501235543248e-09,0.03776604,2.8881212421616453e-09
waitress,0.008141249,0.008609956051917778,0.01571402,0.11374914090744742
waiters,0.026438884,6.636249036406916e-09,0.037667073,1.3972277383700327e-08
waitresses,0.021692524,3.1081379657516006e-09,0.008878492,1.3668276101219679e-08
widower,0.019560039,0.07943379442892426,0.027616069,0.01500593931336977
widow,0.07595322,0.0474524886059782,0.027684078,0.015695664153641237
widowers,0.049734283,4.63887386836781e-10,0.00206507,3.966871997551635e-09
widows,0.011557154,0.0074869964255688815,0.016914079,0.014519703246413874
wizard,0.107767336,6.923417686377498e-09,0.008421779,1.6841498445829828e-08
witch,0.008895781,0.0224347554215599,0.033368774,0.061775706428625426
wizards,0.025623895,1.0423616345067721e-08,0.0070112944,5.682498444015138e-09
witches,0.07409503,0.06330783875927451,0.03707732,0.04057676002737419
cowgirl,NaN,NaN,0.0120538175,2.027167206319902e-08
cowboy,0.080510765,7.180183891897229e-09,0.03642288,1.1239962682818572e-08
cowgirls,NaN,NaN,0.008405283,2.5353800309213526e-09
cowboys,0.08229,1.0892269378115493e-08,0.012334138,9.477975709826225e-09
cameramen,NaN,NaN,NaN,NaN
camerawomen,NaN,NaN,NaN,NaN
camerawoman,NaN,NaN,NaN,NaN
cameraman,NaN,NaN,NaN,NaN
busgirl,NaN,NaN,NaN,NaN
busboy,NaN,NaN,NaN,NaN
busgirls,NaN,NaN,NaN,NaN
busboys,NaN,NaN,NaN,NaN
bellgirl,NaN,NaN,0.07187585,6.123555912340706e-09
bellboy,0.005197011,5.324545318541318e-09,0.039722875,6.433166374486695e-09
bellgirls,NaN,NaN,NaN,NaN
bellboys,NaN,NaN,NaN,NaN
barwoman,NaN,NaN,0.01680921,5.714863304806528e-09
barman,0.0006236136,5.214563836286601e-09,0.026245698,9.625696739679057e-09
barwomen,NaN,NaN,0.007798843,6.691217024901164e-12
barmen,0.012864546,6.955388522078554e-09,0.022781678,7.992152870062164e-09
seamstress,0.0015102923,3.398141601440585e-09,0.041171923,4.541517439893283e-09
tailor,0.102708414,1.3376487084659772e-08,0.059124395,6.053746254286452e-09
seamstresses,0.04954361,8.108608562373831e-09,0.022066146,1.0638027403420125e-09
tailors,0.10298391,5.744298758880717e-09,0.030862186,1.5132604641587832e-08
governess,0.12764142,1.3280325256159742e-08,0.03460659,1.5873802855503882e-08
governor,0.10656516,1.3086999761657836e-08,0.024293378,1.7350402559124234e-08
governesses,0.086022146,6.010944846035482e-09,0.0011828095,2.7131421553860946e-09
governors,0.03199088,1.4068049433713092e-09,0.021241747,2.7308215827526183e-09
adultress,NaN,NaN,NaN,NaN
adultor,NaN,NaN,NaN,NaN
adultresses,NaN,NaN,NaN,NaN
adultors,NaN,NaN,NaN,NaN
godess,NaN,NaN,0.047328167,4.022804575565253e-09
god,0.004572585,4.068745756979908e-09,0.023770817,3.882658028420138e-09
godesses,NaN,NaN,0.04175722,4.32856861465325e-10
gods,0.01716666,8.657033701009453e-10,0.03472416,1.0444708792300972e-08
hostess,0.003700912,0.02537257863508488,0.032850266,0.025166032019200868
host,0.13306989,2.436470358802012e-08,0.09409447,2.157992895490679e-08
hostesses,0.011193866,1.1816747126809635e-08,0.0063076913,8.890738603661852e-09
hosts,0.06521644,1.6044240103152418e-09,0.07471424,9.249312094006257e-09
abbess,0.09635593,2.8580605104799872e-09,0.030578107,2.2504622942953745e-08
abbot,0.037141763,8.117367944482368e-09,0.0069152117,9.504162457041332e-10
abbesses,NaN,NaN,0.0021731898,6.222888038198704e-10
abbots,0.023814678,1.0673372463632091e-08,0.012758508,1.1334581322131054e-08
spinster,0.063627064,5.869747132791758e-09,0.03502836,1.1489468071390618e-08
bachelor,0.08757012,0.14514351787728902,0.050041035,0.14679832425915024
spinsters,0.024114829,1.2962540832384128e-09,0.0051950645,2.4596117816078067e-09
bachelors,0.0050261915,1.0267128577878815e-08,0.0155307725,4.162240344052215e-10
baroness,NaN,NaN,0.014614519,5.966464475259947e-10
baron,0.02722634,1.1267066613029897e-08,0.012400083,8.35761876372132e-10
barnoesses,NaN,NaN,0.0213921,6.6316555545620215e-09
barons,0.024885334,1.6024499199795983e-08,0.013681535,2.7260193477540717e-09
belle,0.05781997,1.5964303212712139e-09,0.02154421,2.779036820110825e-09
beau,0.01627843,0.007024642311553586,0.014045848,0.05177567133814661
belles,0.043886855,8.054734920714957e-09,0.021747634,7.0730128698404116e-09
beaus,0.009305251,1.1028813286240169e-08,0.0011579767,7.258313533542449e-10
duchess,0.023342669,5.300118899320694e-09,0.080809265,2.290451994735321e-09
duke,0.075184524,1.3709780311010888e-08,0.04330802,4.612189630215369e-09
duchesses,0.0037594438,7.410864408252671e-09,0.0075658336,5.559412055711199e-09
dukes,0.012216646,5.812329957610718e-09,0.006684106,4.7840355843487e-09
